[INFO ] 2015-03-21 21:00:49,853         org.hibernate.cfg.Environment     - Hibernate 3.3.2.GA
  [INFO ] 2015-03-21 21:00:52,833     org.hibernate.cfg.SettingsFactory     - Second-level cache: enabled
  [INFO ] 2015-03-21 21:00:52,833     org.hibernate.cfg.SettingsFactory     - Query cache: disabled
  [INFO ] 2015-03-21 21:00:52,833     org.hibernate.cfg.SettingsFactory     - Cache region factory : org.hibernate.cache.impl.NoCachingRegionFactory
  [INFO ] 2015-03-21 21:00:52,834     org.hibernate.cfg.SettingsFactory     - Optimize cache for minimal puts: disabled
  [INFO ] 2015-03-21 21:00:52,834     org.hibernate.cfg.SettingsFactory     - Structured second-level cache entries: disabled
  [INFO ] 2015-03-21 21:00:52,842     org.hibernate.cfg.SettingsFactory     - Statistics: disabled
  [INFO ] 2015-03-21 21:00:52,842     org.hibernate.cfg.SettingsFactory     - Deleted entity synthetic identifier rollback: disabled
  [INFO ] 2015-03-21 21:00:52,842     org.hibernate.cfg.SettingsFactory     - Default entity-mode: pojo
  [INFO ] 2015-03-21 21:00:52,842     org.hibernate.cfg.SettingsFactory     - Named query checking : enabled
  [INFO ] 2015-03-21 21:00:53,036 org.hibernate.impl.SessionFactoryImpl     - building session factory
  [INFO ] 2015-03-21 21:00:53,817 org.hibernate.impl.SessionFactoryObjectFactory     - Not binding factory to JNDI, no JNDI name configured
  
